CHROMOSOME chromosome
INTERGENIC_CONSERVED intergenic_region
INTERGENIC intergenic_region
UPSTREAM upstream_gene_variant
UTR_5_PRIME 5_prime_UTR_variant
UTR_5_DELETED five_prime_UTR
SPLICE_SITE_ACCEPTOR splice_region_variant
SPLICE_SITE_BRANCH splice_region_variant
SPLICE_SITE_BRANCH_U12 splice_region_variant
SPLICE_SITE_DONOR splice_region_variant
START_LOST initiator_codon_variant
SYNONYMOUS_START initiator_codon_variant
NON_SYNONYMOUS_START initiator_codon_variant
TRANSCRIPT nc_transcript_variant
EXON non_coding_exon_variant
EXON_DELETED exon_lost
NON_SYNONYMOUS_CODING missense
SYNONYMOUS_CODING synonymous_variant
FRAME_SHIFT frameshift_variant
CODON_CHANGE coding_sequence_variant
CODON_INSERTION inframe_insertion
CODON_CHANGE_PLUS_CODON_INSERTION inframe_insertion
CODON_DELETION inframe_deletion
CODON_CHANGE_PLUS_CODON_DELETION inframe_deletion
STOP_GAINED stop_gained
SYNONYMOUS_STOP stop_retained_variant
NON_SYNONYMOUS_STOP stop_retained_variant
STOP_LOST stop_lost
INTRON intron_variant
UTR_3_PRIME 3_prime_UTR_variant
DOWNSTREAM downstream_gene_variant
INTRON_CONSERVED intron_variant
INTRAGENIC intragenic_variant
REGULATION regulatory_region_variant
RARE_AMINO_ACID non_conservative_missense_variant
START_GAINED	start_gained
MICRO_RNA       micro_rna
NONE            none
GENE            gene
CDS             cds
GENOME          genome
CUSTOM 			custom 					

