1	NC_000001.11
2	NC_000002.12
3	NC_000003.12
4	NC_000004.12
5	NC_000005.10
6	NC_000006.12
7	NC_000007.14
8	NC_000008.11
9	NC_000009.12
10	NC_000010.11
11	NC_000011.10
12	NC_000012.12
13	NC_000013.11
14	NC_000014.9
15	NC_000015.10
16	NC_000016.10
17	NC_000017.11
18	NC_000018.10
19	NC_000019.10
20	NC_000020.11
21	NC_000021.9
22	NC_000022.11
X	NC_000023.11
Y	NC_000024.10
HSCHR1_CTG1_UNLOCALIZED	NT_187361.1
HSCHR1_CTG2_UNLOCALIZED	NT_187362.1
HSCHR1_CTG3_UNLOCALIZED	NT_187363.1
HSCHR1_CTG4_UNLOCALIZED	NT_187364.1
HSCHR1_CTG5_UNLOCALIZED	NT_187365.1
HSCHR1_CTG6_UNLOCALIZED	NT_187366.1
HSCHR1_CTG7_UNLOCALIZED	NT_187367.1
HSCHR1_CTG8_UNLOCALIZED	NT_187368.1
HSCHR1_CTG9_UNLOCALIZED	NT_187369.1
HSCHR2_RANDOM_CTG1	NT_187370.1
HSCHR2_RANDOM_CTG2	NT_187371.1
HSCHR3UN_CTG2	NT_167215.1
HSCHR4_RANDOM_CTG4	NT_113793.3
HSCHR5_RANDOM_CTG1	NT_113948.1
HSCHR9_UNLOCALIZED_CTG1	NT_187372.1
HSCHR9_UNLOCALIZED_CTG2	NT_187373.1
HSCHR9_UNLOCALIZED_CTG3	NT_187374.1
HSCHR9_UNLOCALIZED_CTG4	NT_187375.1
HSCHR11_CTG1_UNLOCALIZED	na
HSCHR14_CTG1_UNLOCALIZED	NT_113796.3
HSCHR14_CTG4_UNLOCALIZED	NT_113888.1
HSCHR14_CTG2_UNLOCALIZED	NT_167219.1
HSCHR14_CTG3_UNLOCALIZED	NT_187377.1
HSCHR14_CTG5_UNLOCALIZED	NT_187378.1
HSCHR14_CTG6_UNLOCALIZED	NT_187379.1
HSCHR14_CTG7_UNLOCALIZED	NT_187380.1
HSCHR14_CTG8_UNLOCALIZED	NT_187381.1
HSCHR15_RANDOM_CTG1	NT_187382.1
HSCHR16_RANDOM_CTG1	NT_187383.1
HSCHR17_RANDOM_CTG3	NT_113930.2
HSCHR17_RANDOM_CTG4	NT_187384.1
HSCHR17_RANDOM_CTG5	NT_187385.1
HSCHR22_UNLOCALIZED_CTG1	NT_187386.1
HSCHR22_UNLOCALIZED_CTG2	NT_187387.1
HSCHR22_UNLOCALIZED_CTG3	NT_187388.1
HSCHR22_UNLOCALIZED_CTG4	na
HSCHR22_UNLOCALIZED_CTG5	NT_187390.1
HSCHR22_UNLOCALIZED_CTG6	NT_187391.1
HSCHR22_UNLOCALIZED_CTG7	NT_187392.1
HSCHR22_UNLOCALIZED_CTG8	NT_187393.1
HSCHR22_UNLOCALIZED_CTG9	NT_187394.1
HSCHRY_RANDOM_CTG1	NT_187395.1
HSCHRUN_RANDOM_CTG1	NT_113901.1
HSCHRUN_RANDOM_CTG2	NT_167208.1
HSCHRUN_RANDOM_CTG4	NT_167209.1
HSCHRUN_RANDOM_CTG6	NT_167211.2
HSCHRUN_RANDOM_CTG9	NT_113889.1
HSCHRUN_RANDOM_CTG10	NT_167213.1
HSCHRUN_RANDOM_CTG11	NT_167214.1
HSCHRUN_RANDOM_CTG16	NT_167218.1
HSCHRUN_RANDOM_CTG19	NT_167220.1
HSCHRUN_RANDOM_100	NT_187396.1
HSCHRUN_RANDOM_102	NT_187398.1
HSCHRUN_RANDOM_101	NT_187397.1
HSCHRUN_RANDOM_103	NT_187399.1
HSCHRUN_RANDOM_106	NT_187402.1
HSCHRUN_RANDOM_110	NT_187406.1
HSCHRUN_RANDOM_109	NT_187405.1
HSCHRUN_RANDOM_108	NT_187404.1
HSCHRUN_RANDOM_107	NT_187403.1
HSCHRUN_RANDOM_111	NT_187407.1
HSCHRUN_RANDOM_105	NT_187401.1
HSCHRUN_RANDOM_104	NT_187400.1
HSCHRUN_RANDOM_167	NT_187459.1
HSCHRUN_RANDOM_166	NT_187458.1
HSCHRUN_RANDOM_169	NT_187461.1
HSCHRUN_RANDOM_168	NT_187460.1
HSCHRUN_RANDOM_170	NT_187462.1
HSCHRUN_RANDOM_173	NT_187465.1
HSCHRUN_RANDOM_174	NT_187466.1
HSCHRUN_RANDOM_171	NT_187463.1
HSCHRUN_RANDOM_172	NT_187464.1
HSCHRUN_RANDOM_177	NT_187469.1
HSCHRUN_RANDOM_175	NT_187467.1
HSCHRUN_RANDOM_176	NT_187468.1
HSCHRUN_RANDOM_178	NT_187470.1
HSCHRUN_RANDOM_202	NT_187494.1
HSCHRUN_RANDOM_199	NT_187491.1
HSCHRUN_RANDOM_200	NT_187492.1
HSCHRUN_RANDOM_198	NT_187490.1
HSCHRUN_RANDOM_201	NT_187493.1
HSCHRUN_RANDOM_197	NT_187489.1
HSCHRUN_RANDOM_179	NT_187471.1
HSCHRUN_RANDOM_180	NT_187472.1
HSCHRUN_RANDOM_194	NT_187486.1
HSCHRUN_RANDOM_196	NT_187488.1
HSCHRUN_RANDOM_190	NT_187482.1
HSCHRUN_RANDOM_192	NT_187484.1
HSCHRUN_RANDOM_195	NT_187487.1
HSCHRUN_RANDOM_188	NT_187480.1
HSCHRUN_RANDOM_183	NT_187475.1
HSCHRUN_RANDOM_186	NT_187478.1
HSCHRUN_RANDOM_181	NT_187473.1
HSCHRUN_RANDOM_182	NT_187474.1
HSCHRUN_RANDOM_189	NT_187481.1
HSCHRUN_RANDOM_193	NT_187485.1
HSCHRUN_RANDOM_191	NT_187483.1
HSCHRUN_RANDOM_187	NT_187479.1
HSCHRUN_RANDOM_184	NT_187476.1
HSCHRUN_RANDOM_185	NT_187477.1
HSCHRUN_RANDOM_113	NT_187409.1
HSCHRUN_RANDOM_112	NT_187408.1
HSCHRUN_RANDOM_114	NT_187410.1
HSCHRUN_RANDOM_119	NT_187415.1
HSCHRUN_RANDOM_116	NT_187412.1
HSCHRUN_RANDOM_115	NT_187411.1
HSCHRUN_RANDOM_117	NT_187413.1
HSCHRUN_RANDOM_120	NT_187416.1
HSCHRUN_RANDOM_121	NT_187417.1
HSCHRUN_RANDOM_118	NT_187414.1
HSCHRUN_RANDOM_122	NT_187418.1
HSCHRUN_RANDOM_123	NT_187419.1
HSCHRUN_RANDOM_128	NT_187424.1
HSCHRUN_RANDOM_129	NT_187425.1
HSCHRUN_RANDOM_124	NT_187420.1
HSCHRUN_RANDOM_203	NT_187495.1
HSCHRUN_RANDOM_126	NT_187422.1
HSCHRUN_RANDOM_125	NT_187421.1
HSCHRUN_RANDOM_127	NT_187423.1
HSCHRUN_RANDOM_130	NT_187426.1
HSCHRUN_RANDOM_141	NT_187437.1
HSCHRUN_RANDOM_134	NT_187430.1
HSCHRUN_RANDOM_132	NT_187428.1
HSCHRUN_RANDOM_131	NT_187427.1
HSCHRUN_RANDOM_139	NT_187435.1
HSCHRUN_RANDOM_136	NT_187432.1
HSCHRUN_RANDOM_140	NT_187436.1
HSCHRUN_RANDOM_135	NT_187431.1
HSCHRUN_RANDOM_142	NT_187438.1
HSCHRUN_RANDOM_133	NT_187429.1
HSCHRUN_RANDOM_137	NT_187433.1
HSCHRUN_RANDOM_204	NT_187496.1
HSCHRUN_RANDOM_138	NT_187434.1
HSCHRUN_RANDOM_144	NT_187440.1
HSCHRUN_RANDOM_143	NT_187439.1
HSCHRUN_RANDOM_145	NT_187441.1
HSCHRUN_RANDOM_147	NT_187443.1
HSCHRUN_RANDOM_146	NT_187442.1
HSCHRUN_RANDOM_148	NT_187444.1
HSCHRUN_RANDOM_149	NT_187445.1
HSCHRUN_RANDOM_158	NT_187450.1
HSCHRUN_RANDOM_156	NT_187448.1
HSCHRUN_RANDOM_157	NT_187449.1
HSCHRUN_RANDOM_162	NT_187454.1
HSCHRUN_RANDOM_154	NT_187446.1
HSCHRUN_RANDOM_161	NT_187453.1
HSCHRUN_RANDOM_155	NT_187447.1
HSCHRUN_RANDOM_163	NT_187455.1
HSCHRUN_RANDOM_159	NT_187451.1
HSCHRUN_RANDOM_160	NT_187452.1
HSCHRUN_RANDOM_165	NT_187457.1
HSCHRUN_RANDOM_164	NT_187456.1
HSCHRUN_RANDOM_CTG17	NT_187497.1
HSCHRUN_RANDOM_CTG42	NT_187513.1
HSCHRUN_RANDOM_CTG20	NT_187498.1
HSCHRUN_RANDOM_CTG21	NT_187499.1
HSCHRUN_RANDOM_CTG22	NT_187500.1
HSCHRUN_RANDOM_CTG23	NT_187501.1
HSCHRUN_RANDOM_CTG24	NT_187502.1
HSCHRUN_RANDOM_CTG25	NT_187503.1
HSCHRUN_RANDOM_CTG26	NT_187504.1
HSCHRUN_RANDOM_CTG27	NT_187505.1
HSCHRUN_RANDOM_CTG28	NT_187506.1
HSCHRUN_RANDOM_CTG29	na
HSCHRUN_RANDOM_CTG30	NT_187508.1
HSCHRUN_RANDOM_CTG33	NT_187509.1
HSCHRUN_RANDOM_CTG34	NT_187510.1
HSCHRUN_RANDOM_CTG35	NT_187511.1
HSCHRUN_RANDOM_CTG36	NT_187512.1
HG986_PATCH	NW_009646194.1
HG2058_PATCH	NW_009646195.1
HG2104_PATCH	NW_009646196.1
HG1832_PATCH	NW_011332687.1
HG2095_PATCH	NW_011332688.1
HG1342_HG2282_PATCH	NW_012132914.1
HG2002_PATCH	NW_018654708.1
HG460_PATCH	NW_019805487.1
HG1343_HG173_HG459_PATCH	NW_025791756.1
HG2571_PATCH	NW_025791757.1
HG2515_PATCH	NW_025791758.1
HG2577_PATCH	NW_025791759.1
HSCHR1_3_CTG3	NW_014040925.1
HSCHR1_4_CTG3	NW_014040926.1
HSCHR1_5_CTG32_1	NW_014040927.1
HSCHR1_5_CTG3	NW_015495298.1
HSCHR1_6_CTG3	NW_017852928.1
HSCHR1_8_CTG3	NW_018654706.1
HSCHR1_9_CTG3	NW_018654707.1
HSCHR1_12_CTG3	NW_025791753.1
HSCHR1_5_CTG31	NW_025791754.1
HSCHR1_6_CTG31	NW_025791755.1
HG2233_PATCH	NW_011332689.1
HG2232_PATCH	NW_011332690.1
HG2290_PATCH	NW_012132915.1
HG721_PATCH	NW_021159987.1
HG1384_PATCH	NW_021159988.1
HG2494_PATCH	NW_025791764.1
HG2275_PATCH	NW_025791765.1
HG2052_PATCH	NW_025791766.1
HG2231_HG2496_PATCH	NW_025791767.1
HG2140_PATCH	NW_025791768.1
HSCHR2_6_CTG7_2	NW_015495299.1
HSCHR2_7_CTG7_2	NW_018654709.1
HSCHR2_8_CTG7_2	NW_018654710.1
HSCHR2_10_CTG7_2	NW_025791760.1
HSCHR2_11_CTG7_2	NW_025791761.1
HSCHR2_12_CTG7_2	NW_025791762.1
HSCHR2_6_CTG1	NW_025791763.1
HG2066_PATCH	NW_009646197.1
HG2022_PATCH	NW_009646198.1
HG126_PATCH	NW_011332691.1
HG2235_PATCH	NW_012132916.1
HG2237_PATCH	NW_012132917.1
HG2236_PATCH	NW_017363813.1
HG2133_PATCH	NW_019805491.1
HG2264_PATCH	NW_025791769.1
HG2077_PATCH	NW_025791770.1
HG2069_PATCH	NW_025791771.1
HSCHR3_4_CTG1	NW_018654711.1
HSCHR3_7_CTG2_1	NW_019805488.1
HSCHR3_8_CTG2_1	NW_019805489.1
HSCHR3_9_CTG2_1	NW_019805490.1
HSCHR3_6_CTG2_1	NW_019805492.1
HSCHR3_5_CTG1	NW_021159989.1
HG2023_PATCH	NW_015495300.1
HG699_PATCH	NW_021159990.1
HG2525_PATCH	NW_021159991.1
HG1299_PATCH	NW_021159992.1
HG1298_PATCH	NW_021159993.1
HG1296_PATCH	NW_021159994.1
HG705_PATCH	NW_021159995.1
HG2155_PATCH	NW_025791773.1
HG287_PATCH	NW_025791774.1
HSCHR4_2_CTG4	NW_013171799.1
HSCHR4_8_CTG12	NW_013171800.1
HSCHR4_9_CTG12	NW_013171801.1
HSCHR4_11_CTG12	NW_015495301.1
HSCHR4_12_CTG12	NW_017363814.1
HSCHR4_2_CTG8_1	NW_025791772.1
HG30_PATCH	NW_016107298.1
HG1395_PATCH	NW_021159996.1
HG1046_PATCH	NW_025791775.1
HG2476_PATCH	NW_025791776.1
HG2405_PATCH	NW_025791777.1
HG2308_PATCH	NW_025791778.1
HSCHR5_7_CTG1	NW_009646199.1
HSCHR5_8_CTG1	NW_016107297.1
HSCHR5_9_CTG1	NW_018654712.1
HSCHR5_10_CTG1	NW_025791779.1
HG2128_PATCH	NW_009646200.1
HG1651_PATCH	NW_012132918.1
HG2072_PATCH	NW_013171802.1
HG2121_PATCH	NW_017363815.1
HG2057_PATCH	NW_018654713.1
HG563_PATCH	NW_021159997.1
HSCHR6_1_CTG10	NW_013171803.1
HSCHR6_1_CTG1	NW_025791780.1
HG2239_PATCH	NW_012132919.1
HG2088_PATCH	NW_017852929.1
HG2266_PATCH	NW_017852930.1
HG708_PATCH	NW_018654714.1
HG1309_PATCH	NW_021159998.1
HSCHR7_3_CTG4_4	NW_018654715.1
HSCHR7_3_CTG1	NW_019805493.1
HSCHR7_4_CTG1	NW_025791781.1
HG2067_PATCH	NW_017852931.1
HG2068_PATCH	NW_017852932.1
HG2419_PATCH	NW_018654716.1
HG76_PATCH	NW_018654717.1
HG2176_PATCH	NW_025791782.1
HG1047_PATCH	NW_025791783.1
HG2408_PATCH	NW_025791784.1
HG2267_PATCH	NW_025791785.1
HG2031_PATCH	NW_025791786.1
HSCHR8_7_CTG7	NW_019805494.1
HG2030_PATCH	NW_009646201.1
HG613_PATCH	NW_021159999.1
HG2158_PATCH	NW_025791787.1
HG1012_PATCH	NW_025791788.1
HG1206_PATCH	NW_025791789.1
HSCHR9_1_CTG6	NW_013171804.1
HSCHR9_1_CTG7	NW_013171805.1
HG2191_PATCH	NW_009646202.1
HG2241_PATCH	NW_011332692.1
HG2242_HG2243_PATCH	NW_011332693.1
HG2244_HG2245_PATCH	NW_011332694.1
HG2334_PATCH	NW_013171807.1
HG545_PATCH	NW_021160000.1
HG1277_PATCH	NW_021160001.1
HG2576_PATCH	NW_025791790.1
HSCHR10_1_CTG6	NW_013171806.1
HG2217_PATCH	NW_009646203.1
HG2116_PATCH	NW_013171808.1
HG107_HG2565_PATCH	NW_015148966.2
HG1708_PATCH	NW_017363816.1
HG2060_PATCH	NW_019805495.1
HG2114_PATCH	NW_019805496.1
HG1521_PATCH	NW_021160002.1
HG1445_PATCH	NW_021160003.1
HG28_PATCH	NW_021160004.1
HG2115_PATCH	NW_021160005.1
HG2111_PATCH	NW_021160006.1
HG152_PATCH	NW_025791792.1
HG2568_PATCH	NW_025791793.1
HG2578_PATCH	NW_025791794.1
HSCHR11_1_CTG1_2	NW_011332695.1
HSCHR11_2_CTG8	NW_019805497.1
HSCHR11_1_CTG3_1	NW_019805498.1
HSCHR11_2_CTG3_1	NW_025791791.1
HG23_PATCH	NW_009646204.1
HG1362_PATCH	NW_011332696.1
HG2247_PATCH	NW_011332697.1
HG2063_PATCH	NW_015148967.1
HG1815_PATCH	NW_018654718.1
HG2047_PATCH	NW_018654719.1
HG2246_HG2248_HG2276_PATCH	NW_021160007.1
HG1398_PATCH	NW_021160008.1
HG2554_PATCH	NW_025791795.1
HSCHR12_2_CTG1	NW_013171809.1
HSCHR12_8_CTG2_1	NW_018654720.1
HSCHR12_9_CTG2_1	NW_019805499.1
HG2216_PATCH	NW_009646205.1
HG2288_HG2289_PATCH	NW_011332698.1
HG2291_PATCH	NW_011332699.1
HG2249_PATCH	NW_011332700.1
HG1817_1_PATCH	NW_021160009.1
HG1523_PATCH	NW_021160010.1
HG1524_PATCH	NW_021160011.1
HG2509_PATCH	NW_021160012.1
HSCHR13_1_CTG7	NW_013171810.1
HSCHR13_1_CTG8	NW_013171811.1
HG1_PATCH	NW_018654722.1
HG2510_PATCH	NW_021160013.1
