nameLong	nameShort
enityId	enityId
entityName	entityName
Brain_Frontal_Cortex_BA9_	Brain_Frontal_Cortex_BA9
Cells_EBVtransformed_lymphocytes	Cells_EBVtransformed_lymphocytes
Muscle_Skeletal	Muscle_Skeletal
Adipose_Subcutaneous	Adipose_Subcutaneous
Whole_Blood	Whole_Blood
Skin_Sun_Exposed_Lower_leg_	Skin_Sun_Exposed_Lower_leg
Whole_Blood	Whole_Blood
Brain_Cerebellar_Hemisphere	Brain_Cerebellar_Hemisphere
Whole_Blood	Whole_Blood
Whole_Blood	Whole_Blood
Whole_Blood	Whole_Blood
Thyroid	Thyroid
Thyroid	Thyroid
Brain_Putamen_basal_ganglia_	Brain_Putamen_basal_ganglia
Heart_Atrial_Appendage	Heart_Atrial_Appendage
Prostate	Prostate
Brain_Cerebellum	Brain_Cerebellum
Artery_Coronary	Artery_Coronary
Esophagus_Mucosa	Esophagus_Mucosa
Thyroid	Thyroid
Artery_Tibial	Artery_Tibial
Muscle_Skeletal	Muscle_Skeletal
Brain_Nucleus_accumbens_basal_ganglia_	Brain_Nucleus_accumbens_basal_ganglia
Nerve_Tibial	Nerve_Tibial
Muscle_Skeletal	Muscle_Skeletal
Muscle_Skeletal	Muscle_Skeletal
Heart_Left_Ventricle	Heart_Left_Ventricle
Brain_Hippocampus	Brain_Hippocampus
Whole_Blood	Whole_Blood
Lung	Lung
Brain_Putamen_basal_ganglia_	Brain_Putamen_basal_ganglia
Muscle_Skeletal	Muscle_Skeletal
Muscle_Skeletal	Muscle_Skeletal
Brain_Spinal_cord_cervical_c1_	Brain_Spinal_cord_cervical_c1
Skin_Not_Sun_Exposed_Suprapubic_	Skin_Not_Sun_Exposed_Suprapubic
Brain_Hypothalamus	Brain_Hypothalamus
Brain_Caudate_basal_ganglia_	Brain_Caudate_basal_ganglia
Nerve_Tibial	Nerve_Tibial
Adipose_Subcutaneous	Adipose_Subcutaneous
Brain_Caudate_basal_ganglia_	Brain_Caudate_basal_ganglia
Lung	Lung
Stomach	Stomach
Nerve_Tibial	Nerve_Tibial
Brain_Cerebellum	Brain_Cerebellum
Brain_Caudate_basal_ganglia_	Brain_Caudate_basal_ganglia
Thyroid	Thyroid
Lung	Lung
Muscle_Skeletal	Muscle_Skeletal
Muscle_Skeletal	Muscle_Skeletal
Muscle_Skeletal	Muscle_Skeletal
Thyroid	Thyroid
Thyroid	Thyroid
Adipose_Subcutaneous	Adipose_Subcutaneous
Whole_Blood	Whole_Blood
Whole_Blood	Whole_Blood
Muscle_Skeletal	Muscle_Skeletal
