# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_DOWNSTREAM	variants_effect_NON_SYNONYMOUS_CODING	variants_effect_START_LOST	variants_effect_STOP_GAINED	variants_effect_SYNONYMOUS_CODING	variants_effect_UPSTREAM	bases_affected_DOWNSTREAM	total_score_DOWNSTREAM	length_DOWNSTREAM	bases_affected_EXON	total_score_EXON	length_EXON	bases_affected_TRANSCRIPT	total_score_TRANSCRIPT	length_TRANSCRIPT	bases_affected_UPSTREAM	total_score_UPSTREAM	length_UPSTREAM
CFBS_0009	CFBS_0009	YP_008004845.1		0	0	0	1	1	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
CFBS_0010	CFBS_0010	YP_008004846.1		0	0	0	1	1	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
CFBS_0011	CFBS_0011	YP_008004847.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
CFBS_0012	CFBS_0012	YP_008004848.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
CFBS_0014	CFBS_0014	YP_008004850.1		0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	5000
CFBS_0015	CFBS_0015	YP_008004851.1		0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	5000
CFBS_0016	CFBS_0016	YP_008004852.1		0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	5000
CFBS_0017	CFBS_0017	YP_008004853.1		0	0	0	2	2	0	0	0	0	0	2	0	5000	0	0	0	0	0	0	0	0	0
CFBS_0018	CFBS_0018	YP_008004854.1		0	1	0	1	1	0	0	0	1	0	1	0	5000	1	0	699	0	0	0	0	0	0
CFBS_0024	CFBS_0024	YP_008004860.1		0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	5000
CFBS_0025	CFBS_0025	YP_008004861.1		0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	5000
CFBS_0026	CFBS_0026	YP_008004862.1		0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	5000
CFBS_0028	CFBS_0028	YP_008004864.1		0	1	0	1	0	0	0	0	1	1	0	0	0	1	0	771	0	0	0	1	0	5000
CFBS_0029	CFBS_0029	YP_008004865.1		0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	5000
CFBS_0030	CFBS_0030	YP_008004866.1		0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	5000
CFBS_0031	CFBS_0031	YP_008004867.1		0	0	0	3	1	0	0	0	0	2	1	0	5000	0	0	0	0	0	0	2	0	5000
CFBS_0032	CFBS_0032	YP_008004868.1		0	0	0	3	1	0	0	0	0	2	1	0	5000	0	0	0	0	0	0	2	0	5000
CFBS_0033	CFBS_0033	YP_008004869.1		0	0	0	3	1	0	0	0	0	2	1	0	5000	0	0	0	0	0	0	2	0	5000
CFBS_0034	CFBS_0034	YP_008004870.1		0	0	0	3	2	0	0	0	0	1	2	0	5000	0	0	0	0	0	0	1	0	5000
CFBS_0035	CFBS_0035	YP_008004871.1		0	0	0	3	1	0	0	0	0	2	1	0	5000	0	0	0	0	0	0	2	0	5000
CFBS_0036	CFBS_0036	YP_008004872.1		0	0	0	2	1	0	0	0	0	1	1	0	5000	0	0	0	0	0	0	1	0	5000
CFBS_0039	CFBS_0039	YP_008004875.1		0	0	0	3	2	0	0	0	0	1	2	0	5000	0	0	0	0	0	0	1	0	5000
CFBS_0041	CFBS_0041	YP_008004877.1		0	0	1	2	2	1	0	0	0	0	2	0	5000	1	0	774	0	0	0	0	0	0
CFBS_0042	CFBS_0042	YP_008004878.1		0	0	0	3	3	0	0	0	0	0	3	0	5000	0	0	0	0	0	0	0	0	0
CFBS_0043	CFBS_0043	YP_008004879.1		0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	5000
CFBS_0044	CFBS_0044	YP_008004880.1		0	0	0	2	2	0	0	0	0	0	2	0	5000	0	0	0	0	0	0	0	0	0
CFBS_0045	CFBS_0045	YP_008004881.1		0	0	0	2	2	0	0	0	0	0	2	0	5000	0	0	0	0	0	0	0	0	0
CFBS_0047	CFBS_0047	YP_008004883.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
CFBS_0048	CFBS_0048	YP_008004884.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
CFBS_0049	CFBS_0049	YP_008004885.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
CFBS_0050	CFBS_0050	YP_008004886.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
CFBS_0052	CFBS_0052	YP_008004888.1		0	0	0	1	1	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
CFBS_0053	CFBS_0053	YP_008004889.1		0	0	0	1	1	0	0	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0
CFBS_0054	CFBS_0054	YP_008004890.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
